key	host	time	test	card	backend	build	parameter	value	unit	note
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d0:tg	LLMWorkerHost	2026-08-26T02:42:34+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d0:tg	268.67	t/s generation	peak 303 MiB VRAM during the run
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d0:vram	LLMWorkerHost	2026-08-26T02:42:34+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d0:vram	303	MiB peak	
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d4096	LLMWorkerHost	2026-08-26T02:42:37+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d4096			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d8192	LLMWorkerHost	2026-08-26T02:42:40+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d8192			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d16384	LLMWorkerHost	2026-08-26T02:42:43+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d16384			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d32768	LLMWorkerHost	2026-08-26T02:42:46+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d32768			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d65536	LLMWorkerHost	2026-08-26T02:42:49+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d65536			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d131072	LLMWorkerHost	2026-08-26T02:42:52+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d131072			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|bge-reranker-v2-m3-Q8_0:q8_0:d262144	LLMWorkerHost	2026-08-26T02:42:55+0200	context_depth		vulkan	v0.2.0	bge-reranker-v2-m3-Q8_0:q8_0:d262144			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d0	LLMWorkerHost	2026-08-26T02:42:56+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d0			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d4096	LLMWorkerHost	2026-08-26T02:42:57+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d4096			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d8192	LLMWorkerHost	2026-08-26T02:42:58+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d8192			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d16384	LLMWorkerHost	2026-08-26T02:42:59+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d16384			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d32768	LLMWorkerHost	2026-08-26T02:43:00+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d32768			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d65536	LLMWorkerHost	2026-08-26T02:43:01+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d65536			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d131072	LLMWorkerHost	2026-08-26T02:43:02+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d131072			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:f16:d262144	LLMWorkerHost	2026-08-26T02:43:03+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:f16:d262144			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d0	LLMWorkerHost	2026-08-26T02:43:04+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d0			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d4096	LLMWorkerHost	2026-08-26T02:43:05+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d4096			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d8192	LLMWorkerHost	2026-08-26T02:43:06+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d8192			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d16384	LLMWorkerHost	2026-08-26T02:43:07+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d16384			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d32768	LLMWorkerHost	2026-08-26T02:43:08+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d32768			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d65536	LLMWorkerHost	2026-08-26T02:43:09+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d65536			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d131072	LLMWorkerHost	2026-08-26T02:43:10+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d131072			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q4_0:q8_0:d262144	LLMWorkerHost	2026-08-26T02:43:11+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q4_0:q8_0:d262144			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q8_0:f16:d0	LLMWorkerHost	2026-08-26T02:43:12+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q8_0:f16:d0			no measurement -- most likely too little VRAM for the cache
context_depth||vulkan|v0.2.0|Chroma1-HD-Q8_0:f16:d4096	LLMWorkerHost	2026-08-26T02:43:13+0200	context_depth		vulkan	v0.2.0	Chroma1-HD-Q8_0:f16:d4096			no measurement -- most likely too little VRAM for the cache
